country,vaccine,year,immunization_coverage
afg,bcg,1982,10.0
afg,bcg,1983,10.0
afg,bcg,1984,11.0
afg,bcg,1985,17.0
afg,bcg,1986,18.0
afg,bcg,1987,27.0
afg,bcg,1988,40.0
afg,bcg,1989,38.0
afg,bcg,1990,30.0
afg,bcg,1991,21.0
afg,bcg,1992,19.0
afg,bcg,1993,17.0
afg,bcg,1994,15.0
afg,bcg,1995,31.0
afg,bcg,1996,47.0
afg,bcg,1997,43.0
afg,bcg,1998,35.0
afg,bcg,1999,38.0
afg,bcg,2000,30.0
afg,bcg,2001,43.0
afg,bcg,2002,46.0
afg,bcg,2003,44.0
afg,bcg,2004,51.0
afg,bcg,2005,57.0
afg,bcg,2006,60.0
afg,bcg,2007,60.0
afg,bcg,2008,66.0
afg,bcg,2009,64.0
afg,bcg,2010,68.0
afg,bcg,2011,71.0
afg,bcg,2012,78.0
afg,bcg,2013,72.0
afg,bcg,2014,74.0
afg,bcg,2015,74.0
afg,bcg,2016,74.0
afg,bcg,2017,74.0
afg,dtp1,1980,22.0
afg,dtp1,1982,24.0
afg,dtp1,1983,24.0
afg,dtp1,1984,39.0
afg,dtp1,1985,37.0
afg,dtp1,1986,32.0
afg,dtp1,1987,50.0
afg,dtp1,1988,60.0
afg,dtp1,1989,58.0
afg,dtp1,1990,50.0
afg,dtp1,1991,47.0
afg,dtp1,1992,45.0
afg,dtp1,1993,41.0
afg,dtp1,1994,33.0
afg,dtp1,1995,44.0
afg,dtp1,1996,56.0
afg,dtp1,1997,48.0
afg,dtp1,1998,52.0
afg,dtp1,1999,52.0
afg,dtp1,2000,48.0
afg,dtp1,2001,59.0
afg,dtp1,2002,62.0
afg,dtp1,2003,66.0
afg,dtp1,2004,72.0
afg,dtp1,2005,76.0
afg,dtp1,2006,75.0
afg,dtp1,2007,76.0
afg,dtp1,2008,75.0
afg,dtp1,2009,72.0
afg,dtp1,2010,72.0
afg,dtp1,2011,78.0
afg,dtp1,2012,78.0
afg,dtp1,2013,76.0
afg,dtp1,2014,73.0
afg,dtp1,2015,73.0
afg,dtp1,2016,73.0
afg,dtp1,2017,73.0
afg,dtp3,1980,4.0
afg,dtp3,1981,3.0
afg,dtp3,1982,5.0
afg,dtp3,1983,5.0
afg,dtp3,1984,16.0
afg,dtp3,1985,15.0
afg,dtp3,1986,11.0
afg,dtp3,1987,25.0
afg,dtp3,1988,35.0
afg,dtp3,1989,33.0
afg,dtp3,1990,25.0
afg,dtp3,1991,23.0
afg,dtp3,1992,21.0
afg,dtp3,1993,18.0
afg,dtp3,1994,12.0
afg,dtp3,1995,20.0
afg,dtp3,1996,31.0
afg,dtp3,1997,28.0
afg,dtp3,1998,27.0
afg,dtp3,1999,27.0
afg,dtp3,2000,24.0
afg,dtp3,2001,33.0
afg,dtp3,2002,36.0
afg,dtp3,2003,41.0
afg,dtp3,2004,50.0
afg,dtp3,2005,58.0
afg,dtp3,2006,58.0
afg,dtp3,2007,63.0
afg,dtp3,2008,64.0
afg,dtp3,2009,63.0
afg,dtp3,2010,66.0
afg,dtp3,2011,68.0
afg,dtp3,2012,67.0
afg,dtp3,2013,64.0
afg,dtp3,2014,62.0
afg,dtp3,2015,65.0
afg,dtp3,2016,65.0
afg,dtp3,2017,65.0
ago,bcg,1983,25.0
ago,bcg,1984,28.0
ago,bcg,1985,28.0
ago,bcg,1986,32.0
ago,bcg,1987,29.0
ago,bcg,1988,32.0
ago,bcg,1989,47.0
ago,bcg,1990,48.0
ago,bcg,1991,53.0
ago,bcg,1992,47.0
ago,bcg,1993,53.0
ago,bcg,1994,48.0
ago,bcg,1995,60.0
ago,bcg,1996,65.0
ago,bcg,1997,70.0
ago,bcg,1998,60.0
ago,bcg,1999,50.0
ago,bcg,2000,53.0
ago,bcg,2001,71.0
ago,bcg,2002,77.0
ago,bcg,2003,56.0
ago,bcg,2004,65.0
ago,bcg,2005,54.0
ago,bcg,2006,58.0
ago,bcg,2007,80.0
ago,bcg,2008,78.0
ago,bcg,2009,73.0
ago,bcg,2010,82.0
ago,bcg,2011,76.0
ago,bcg,2012,74.0
ago,bcg,2013,71.0
ago,bcg,2014,72.0
ago,bcg,2015,69.0
ago,bcg,2016,49.0
ago,bcg,2017,83.0
ago,dtp1,1983,25.0
ago,dtp1,1984,28.0
ago,dtp1,1985,28.0
ago,dtp1,1986,31.0
ago,dtp1,1987,31.0
ago,dtp1,1988,33.0
ago,dtp1,1989,41.0
ago,dtp1,1990,48.0
ago,dtp1,1991,51.0
ago,dtp1,1992,45.0
ago,dtp1,1993,55.0
ago,dtp1,1994,52.0
ago,dtp1,1995,48.0
ago,dtp1,1996,53.0
