region,vaccine,year,immunization_coverage
east_asia_pacific,bcg,1980,16
east_asia_pacific,bcg,1981,20
east_asia_pacific,bcg,1982,21
east_asia_pacific,bcg,1983,42
east_asia_pacific,bcg,1984,59
east_asia_pacific,bcg,1985,64
east_asia_pacific,bcg,1986,69
east_asia_pacific,bcg,1987,80
east_asia_pacific,bcg,1988,91
east_asia_pacific,bcg,1989,92
east_asia_pacific,bcg,1990,94
east_asia_pacific,bcg,1991,92
east_asia_pacific,bcg,1992,90
east_asia_pacific,bcg,1993,90
east_asia_pacific,bcg,1994,87
east_asia_pacific,bcg,1995,81
east_asia_pacific,bcg,1996,86
east_asia_pacific,bcg,1997,85
east_asia_pacific,bcg,1998,85
east_asia_pacific,bcg,1999,85
east_asia_pacific,bcg,2000,85
east_asia_pacific,bcg,2001,85
east_asia_pacific,bcg,2002,85
east_asia_pacific,bcg,2003,86
east_asia_pacific,bcg,2004,88
east_asia_pacific,bcg,2005,87
east_asia_pacific,bcg,2006,91
east_asia_pacific,bcg,2007,92
east_asia_pacific,bcg,2008,93
east_asia_pacific,bcg,2009,94
east_asia_pacific,bcg,2010,95
east_asia_pacific,bcg,2011,98
east_asia_pacific,bcg,2012,96
east_asia_pacific,bcg,2013,95
east_asia_pacific,bcg,2014,94
east_asia_pacific,bcg,2015,93
east_asia_pacific,bcg,2016,93
east_asia_pacific,bcg,2017,94
east_asia_pacific,dtp1,1980,13
east_asia_pacific,dtp1,1981,18
east_asia_pacific,dtp1,1982,18
east_asia_pacific,dtp1,1983,68
east_asia_pacific,dtp1,1984,77
east_asia_pacific,dtp1,1985,83
east_asia_pacific,dtp1,1986,86
east_asia_pacific,dtp1,1987,86
east_asia_pacific,dtp1,1988,92
east_asia_pacific,dtp1,1989,94
east_asia_pacific,dtp1,1990,95
east_asia_pacific,dtp1,1991,94
east_asia_pacific,dtp1,1992,94
east_asia_pacific,dtp1,1993,93
east_asia_pacific,dtp1,1994,93
east_asia_pacific,dtp1,1995,91
east_asia_pacific,dtp1,1996,92
east_asia_pacific,dtp1,1997,92
east_asia_pacific,dtp1,1998,92
east_asia_pacific,dtp1,1999,92
east_asia_pacific,dtp1,2000,92
east_asia_pacific,dtp1,2001,92
