country,name,is--country
afg,Afghanistan,TRUE
alb,Albania,TRUE
dza,Algeria,TRUE
ago,Angola,TRUE
arg,Argentina,TRUE
arm,Armenia,TRUE
aut,Austria,TRUE
aze,Azerbaijan,TRUE
bgd,Bangladesh,TRUE
blr,Belarus,TRUE
blz,Belize,TRUE
ben,Benin,TRUE
btn,Bhutan,TRUE
bol,Bolivia (Plurinational State of),TRUE
bih,Bosnia and Herzegovina,TRUE
bwa,Botswana,TRUE
bra,Brazil,TRUE
brn,Brunei Darussalam,TRUE
bgr,Bulgaria,TRUE
bfa,Burkina Faso,TRUE
bdi,Burundi,TRUE
cpv,Cabo Verde,TRUE
khm,Cambodia,TRUE
cmr,Cameroon,TRUE
caf,Central African Republic,TRUE
tcd,Chad,TRUE
chl,Chile,TRUE
chn,China,TRUE
col,Colombia,TRUE
com,Comoros,TRUE
cog,Congo,TRUE
cok,Cook Islands,TRUE
cri,Costa Rica,TRUE
civ,Cote d'Ivoire,TRUE
hrv,Croatia,TRUE
cub,Cuba,TRUE
cze,Czechia,TRUE
prk,Democratic People's Republic of Korea,TRUE
cod,Democratic Republic of the Congo,TRUE
dnk,Denmark,TRUE
dji,Djibouti,TRUE
dma,Dominica,TRUE
dom,Dominican Republic,TRUE
ecu,Ecuador,TRUE
egy,Egypt,TRUE
slv,El Salvador,TRUE
gnq,Equatorial Guinea,TRUE
eri,Eritrea,TRUE
est,Estonia,TRUE
swz,Eswatini,TRUE
eth,Ethiopia,TRUE
fji,Fiji,TRUE
fin,Finland,TRUE
fra,France,TRUE
gab,Gabon,TRUE
gmb,Gambia,TRUE
geo,Georgia,TRUE
gha,Ghana,TRUE
grc,Greece,TRUE
gtm,Guatemala,TRUE
gin,Guinea,TRUE
gnb,Guinea-Bissau,TRUE
guy,Guyana,TRUE
hti,Haiti,TRUE
hnd,Honduras,TRUE
hun,Hungary,TRUE
ind,India,TRUE
idn,Indonesia,TRUE
irn,Iran (Islamic Republic of),TRUE
irq,Iraq,TRUE
irl,Ireland,TRUE
isr,Israel,TRUE
ita,Italy,TRUE
jam,Jamaica,TRUE
jpn,Japan,TRUE
jor,Jordan,TRUE
kaz,Kazakhstan,TRUE
